1 -26.27
2 -27.20
3 -30.88
4 -26.99
5 -28.97
6 -30.36
7 -34.52
8 -29.16
9 -31.64
10 -33.49
11 -31.32
12 -37.72
13 -33.31
14 -33.91
15 -25.81
16 -54.84
17 -28.66
18 -33.58
19 -29.88
20 -28.48
21 -29.44
22 -34.30
23 -36.17
24 -27.75
25 -35.38
26 -31.71
27 -31.42
28 -29.64
29 -32.67
30 -33.08
31 -32.79
32 -28.02
33 -31.36
34 -27.72
35 -28.37
36 -28.90
37 -32.12
38 -31.93
39 -35.71
40 -40.03
41 -30.89
42 -32.42
43 -36.67
44 -28.72
45 -44.14
46 -34.28
47 -33.18
48 -30.82
49 -31.15
50 -31.92
# Avg DG: -32.1938
