1 -34.65
2 -36.42
3 -34.58
4 -41.36
5 -35.76
6 -35.14
7 -34.21
8 -36.82
9 -33.12
10 -40.46
11 -34.88
12 -35.30
13 -36.63
14 -37.79
15 -36.60
16 -31.93
17 -36.94
18 -37.69
19 -38.07
20 -34.56
21 -35.45
22 -32.41
23 -34.97
24 -38.42
25 -40.60
26 -33.42
27 -34.74
28 -37.47
29 -30.84
30 -36.36
31 -35.90
32 -32.12
33 -33.78
34 -38.75
35 -38.93
36 -32.81
37 -35.22
38 -33.02
39 -35.02
40 -34.06
41 -35.62
42 -32.64
43 -35.93
44 -32.12
45 -28.54
46 -35.56
47 -36.36
48 -37.49
49 -31.72
50 -35.76
51 -39.08
52 -38.35
53 -39.27
54 -38.38
55 -33.36
56 -32.42
57 -40.36
58 -35.16
59 -30.68
60 -35.51
61 -35.21
62 -38.98
63 -35.11
64 -38.13
65 -36.49
66 -38.26
67 -36.45
68 -32.02
69 -33.01
70 -30.30
71 -32.55
72 -36.11
73 -34.93
74 -37.08
75 -37.74
76 -30.61
77 -35.24
78 -35.17
79 -34.35
80 -37.96
81 -33.58
82 -34.86
83 -36.53
84 -32.04
85 -35.75
86 -34.73
87 -33.53
88 -33.31
89 -34.39
90 -34.05
91 -33.30
92 -38.03
93 -31.68
94 -34.05
95 -30.60
96 -37.14
97 -29.29
98 -37.21
99 -33.76
100 -28.27
102 -32.34
105 -36.57
106 -41.31
107 -31.91
108 -34.20
109 -33.59
110 -37.57
111 -39.47
112 -36.50
113 -36.24
117 -34.33
118 -37.21
121 -34.07
123 -36.72
124 -32.11
125 -36.57
128 -30.05
132 -36.38
133 -40.35
135 -30.06
137 -36.71
139 -31.84
140 -36.07
142 -35.04
143 -32.57
144 -35.08
147 -37.00
152 -31.25
154 -33.59
155 -41.63
156 -37.93
157 -37.05
158 -37.56
159 -34.23
160 -38.22
161 -33.68
162 -34.24
163 -33.34
164 -38.29
166 -33.03
167 -34.64
168 -35.02
169 -34.50
170 -34.28
171 -30.18
172 -32.22
173 -36.78
174 -35.83
176 -38.54
177 -34.41
178 -30.71
179 -37.90
181 -34.53
185 -36.84
186 -37.08
188 -35.59
189 -33.14
190 -38.61
191 -33.73
192 -30.28
194 -38.86
196 -34.44
197 -31.92
198 -34.51
199 -37.29
200 -37.95
# Avg DG: -35.1746
