459 137.120000 -9.433611
2133 138.478000 -8.118581
5060 136.454000 -9.530480
6777 137.397000 -8.319812
7337 135.456000 -8.022729
8853 139.996000 -6.480968
9987 138.772000 -7.886916
10787 136.120000 -4.383913
10800 138.012000 -10.586984
11351 135.103000 -5.987203
11957 137.674000 -9.791313
12673 139.688000 -10.238618
13097 129.053000 -8.030113
18013 138.344000 -8.754149
18705 137.286000 -8.895495
20340 132.159000 -6.232256
20640 127.651000 -5.044964
22752 131.723000 -7.668365
27377 129.552000 -4.664954
27927 134.343000 -8.009542
29503 134.767000 -4.941851
30798 137.753000 -6.980717
31033 134.741000 -8.220500
32118 139.813000 -6.538854
39240 139.401000 -6.495737
41768 136.642000 -7.946036
44393 135.005000 -9.911955
45120 129.585000 -6.847085
48636 130.891000 -6.771121
48972 136.121000 -7.068727
51330 139.458000 -9.665332
54011 139.318000 -10.132977
56837 135.687000 -8.226703
59919 137.063000 -10.463445
60761 137.318000 -3.630727
61064 137.988000 -9.062348
61751 139.593000 -7.694187
61793 137.613000 -8.938593
61800 129.776000 -4.213331
62401 135.518000 -8.811281
62686 133.134000 -8.840155
67820 132.068000 -4.661334
72207 137.665000 -6.752359
74311 134.704000 -7.162243
75931 139.443000 -8.284659
77156 136.340000 -9.450831
77181 138.420000 -9.608215
77549 130.700000 -8.057464
79718 137.206000 -10.019893
81411 139.507000 -4.459928
82753 137.782000 -11.186193
84256 136.267000 -4.768696
87514 139.165000 -7.459183
88007 138.460000 -8.974330
93185 135.155000 -3.630864
93250 136.281000 -7.310457
93296 137.360000 -10.123451
95962 138.153000 -5.911735
97260 132.961000 -8.939759
98375 138.835000 -10.352450
