810 42.865000 -12.390950
2101 40.414000 -19.255823
2469 41.749000 -17.596740
10283 41.168000 -18.896437
11582 43.520000 -19.098365
13062 40.974000 -18.892096
14325 42.394000 -17.649413
14993 41.990000 -16.561107
31128 42.328000 -19.181129
35690 45.497000 -17.121750
40328 41.107000 -17.006161
42230 40.152000 -19.016623
45790 41.898000 -17.769892
52707 44.120000 -21.349613
58663 47.513000 -17.291920
59263 42.974000 -19.515052
64233 40.027000 -23.780526
67413 41.247000 -20.516034
67449 45.239000 -17.525633
70953 43.831000 -21.493188
74071 40.774000 -18.420255
78194 41.741000 -19.369875
81526 42.475000 -16.758283
81543 40.901000 -19.484273
88025 47.139000 -17.800398
