0.280 4 -0.826455 0.281750
0.282 11 -1.429532 0.283727
0.284 10 -1.372712 0.285400
0.286 51 -2.344002 0.287549
0.288 89 -2.675951 0.289494
0.290 178 -3.089178 0.291545
0.292 369 -3.523788 0.293561
0.294 558 -3.770338 0.295541
0.296 1001 -4.118732 0.297535
0.298 1524 -4.369322 0.299559
0.300 2176 -4.581644 0.301535
0.302 3173 -4.806510 0.303530
0.304 4259 -4.981994 0.305531
0.306 5551 -5.139943 0.307532
0.308 7055 -5.282878 0.309530
0.310 8705 -5.408168 0.311527
0.312 10605 -5.525867 0.313518
0.314 12390 -5.618608 0.315514
0.316 14263 -5.702535 0.317518
0.318 16263 -5.780766 0.319518
0.320 18092 -5.844303 0.321513
0.322 19917 -5.901596 0.323514
0.324 21653 -5.951418 0.325513
0.326 23362 -5.996706 0.327503
0.328 24598 -6.027441 0.329503
0.330 25641 -6.052198 0.331499
0.332 26206 -6.065192 0.333501
0.334 26284 -6.066963 0.335503
0.336 26078 -6.062273 0.337501
0.338 25128 -6.040149 0.339499
0.340 24829 -6.033013 0.341494
0.342 23795 -6.007654 0.343496
0.344 22839 -5.983208 0.345493
0.346 21405 -5.944550 0.347490
0.348 20006 -5.904254 0.349495
0.350 18198 -5.847785 0.351489
0.352 16405 -5.785948 0.353485
0.354 14085 -5.695048 0.355477
0.356 11884 -5.593750 0.357473
0.358 9555 -5.463710 0.359468
0.360 7535 -5.322119 0.361458
0.362 5696 -5.155316 0.363464
0.364 4186 -4.971687 0.365458
0.366 3137 -4.799707 0.367459
0.368 2236 -4.597860 0.369461
0.370 1752 -4.452438 0.371483
0.372 1616 -4.404266 0.373486
0.374 1795 -4.466893 0.375529
0.376 2422 -4.645496 0.377562
0.378 4209 -4.974954 0.379576
0.380 8154 -5.369185 0.381586
0.382 15264 -5.742972 0.383573
0.384 26887 -6.080486 0.385568
0.386 41959 -6.345807 0.387549
0.388 59161 -6.550630 0.389534
0.390 71274 -6.661677 0.391514
0.392 73261 -6.678069 0.393493
0.394 63591 -6.593679 0.395473
0.396 46941 -6.412696 0.397448
0.398 28223 -6.109396 0.399426
0.400 14158 -5.698130 0.401407
0.402 5874 -5.173661 0.403385
0.404 1823 -4.476121 0.405340
0.406 525 -3.733995 0.407331
0.408 109 -2.796800 0.409248
0.410 15 -1.614435 0.411200
0.412 3 -0.654950 0.413667
