# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 2.627805 0.238488 0.000000 2.731770 0.000000 2.523840 0.000000
2 2.705589 0.056077 0.061639 2.716235 0.010913 2.694725 0.119655
3 2.717517 0.077549 0.048543 2.687953 0.024231 2.746907 0.090213
4 2.724113 0.046626 0.036869 2.709662 0.025519 2.738342 0.071510
5 2.742925 0.015808 0.031153 2.740852 0.035048 2.744676 0.054771
6 2.754073 0.019866 0.028214 2.750093 0.031206 2.757662 0.048209
7 2.742303 0.026399 0.024833 2.734160 0.028965 2.750207 0.040117
8 2.751368 0.028443 0.026406 2.762541 0.037604 2.740135 0.037645
9 2.759550 0.007418 0.024373 2.758857 0.033118 2.760184 0.038413
10 2.750275 0.014015 0.023492 2.753758 0.030861 2.746827 0.037961
11 2.741814 0.017394 0.023476 2.747631 0.028838 2.736115 0.035125
12 2.738465 0.014164 0.019796 2.742724 0.026368 2.734359 0.031767
13 2.745872 0.007426 0.020006 2.744823 0.024649 2.747029 0.032183
14 2.746404 0.011306 0.018276 2.743549 0.022318 2.749354 0.029589
15 2.742539 0.009918 0.017473 2.740215 0.020891 2.744995 0.028985
16 2.743134 0.012868 0.017359 2.747753 0.021409 2.738641 0.028053
17 2.737382 0.009665 0.017186 2.740205 0.021706 2.734722 0.025406
18 2.744451 0.012937 0.016684 2.749695 0.022498 2.739338 0.024942
19 2.742894 0.013329 0.016120 2.748752 0.020561 2.737179 0.022891
20 2.741557 0.007724 0.015321 2.743720 0.020695 2.739537 0.022093
21 2.742118 0.003928 0.014234 2.742810 0.019764 2.741558 0.021525
22 2.739957 0.009421 0.014336 2.743394 0.018000 2.736659 0.020286
23 2.741792 0.011132 0.014041 2.746733 0.017900 2.736966 0.020190
24 2.739585 0.014620 0.013545 2.748400 0.017788 2.730874 0.021457
25 2.736590 0.011589 0.012868 2.742382 0.017523 2.730910 0.018819
26 2.740140 0.009908 0.012942 2.744547 0.017290 2.735815 0.019317
27 2.741912 0.012478 0.012415 2.749120 0.017850 2.734780 0.018623
28 2.742664 0.010938 0.012112 2.748415 0.016537 2.736977 0.018102
29 2.742452 0.008923 0.011930 2.746440 0.016071 2.738528 0.017183
30 2.740940 0.011332 0.011497 2.747544 0.015743 2.734399 0.017615
31 2.742538 0.012317 0.011704 2.750582 0.015355 2.734545 0.016687
32 2.744476 0.009320 0.011671 2.749247 0.015048 2.739762 0.016837
33 2.742090 0.008712 0.011160 2.746400 0.015120 2.737854 0.017421
34 2.743264 0.010337 0.011048 2.749484 0.014490 2.737112 0.016549
35 2.744924 0.009633 0.010558 2.750480 0.013817 2.739418 0.015817
36 2.744390 0.009101 0.010324 2.749496 0.014434 2.739338 0.015308
37 2.745377 0.009768 0.009981 2.751407 0.013525 2.739392 0.014784
38 2.744007 0.008820 0.009836 2.749066 0.013803 2.739003 0.014489
39 2.744307 0.009613 0.010242 2.750461 0.013467 2.738205 0.014265
40 2.745940 0.010288 0.009736 2.753160 0.013238 2.738761 0.013994
41 2.744657 0.009392 0.009269 2.750832 0.012727 2.738532 0.013245
42 2.744063 0.009511 0.009143 2.750549 0.012611 2.737631 0.012302
43 2.746339 0.009611 0.009442 2.753113 0.012673 2.739607 0.013388
44 2.744156 0.009771 0.008641 2.751325 0.012472 2.737039 0.013168
45 2.744280 0.009894 0.008946 2.751793 0.012697 2.736816 0.012452
46 2.745016 0.007671 0.008920 2.749643 0.012698 2.740447 0.012533
47 2.744912 0.006017 0.008866 2.747839 0.012172 2.742042 0.012905
48 2.743916 0.003996 0.008680 2.745264 0.011918 2.742625 0.012719
49 2.746745 0.006420 0.009099 2.750256 0.013147 2.743330 0.012569
50 2.745197 0.006555 0.008849 2.748930 0.012518 2.741569 0.011893
