# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 3.239645 0.046300 0.000000 3.236060 0.000000 3.243230 0.000000
2 3.210461 0.124021 0.027180 3.160775 0.052563 3.259960 0.012009
3 3.268836 0.076148 0.039064 3.240043 0.075088 3.297403 0.031446
4 3.264503 0.062763 0.030438 3.238450 0.055038 3.290432 0.024430
5 3.259997 0.033747 0.025701 3.250400 0.045028 3.269520 0.026435
6 3.275956 0.010577 0.025136 3.274698 0.043086 3.277088 0.023962
7 3.280836 0.032237 0.023301 3.293079 0.042378 3.268496 0.021538
8 3.292424 0.013223 0.022996 3.294615 0.036521 3.290134 0.027333
9 3.283491 0.017860 0.021774 3.278549 0.037030 3.288374 0.024839
10 3.288444 0.005893 0.019979 3.288879 0.032892 3.287923 0.022468
11 3.295221 0.013471 0.018434 3.298417 0.031678 3.291899 0.020506
12 3.285693 0.026202 0.019923 3.299594 0.028680 3.271512 0.026967
13 3.284167 0.027902 0.018449 3.301325 0.026741 3.266762 0.025523
14 3.291686 0.025924 0.018274 3.307589 0.026616 3.275495 0.026415
15 3.294595 0.019775 0.017105 3.304414 0.023874 3.284497 0.025028
16 3.294147 0.014277 0.016557 3.299544 0.023070 3.288491 0.023420
17 3.292201 0.017866 0.015973 3.301293 0.021161 3.282876 0.023256
18 3.290204 0.019545 0.015510 3.301785 0.019780 3.278416 0.022499
19 3.285348 0.014148 0.014923 3.291659 0.021800 3.278828 0.020632
20 3.287916 0.012493 0.014454 3.293061 0.020807 3.282545 0.020675
21 3.282605 0.006298 0.014088 3.283860 0.021468 3.281129 0.020100
22 3.288551 0.012944 0.014532 3.294724 0.023381 3.282230 0.018234
23 3.285318 0.010769 0.014335 3.289783 0.022806 3.280743 0.018281
24 3.288440 0.002489 0.014303 3.288640 0.021298 3.288142 0.019286
25 3.288304 0.006221 0.013779 3.289883 0.021392 3.286632 0.017885
26 3.289473 0.008138 0.013047 3.292317 0.020517 3.286526 0.016093
27 3.290376 0.009259 0.012669 3.294217 0.020936 3.286427 0.017118
28 3.291899 0.006398 0.012898 3.293761 0.019360 3.289920 0.016199
29 3.290088 0.004878 0.012138 3.291195 0.018950 3.288887 0.016528
30 3.289399 0.003988 0.011962 3.290154 0.018252 3.288560 0.015443
31 3.289800 0.003763 0.011587 3.290490 0.017096 3.289025 0.014477
32 3.287747 0.005822 0.010667 3.285877 0.016945 3.289536 0.014059
33 3.285704 0.002266 0.011534 3.285381 0.017164 3.285960 0.014466
34 3.287169 0.002809 0.011051 3.286672 0.016323 3.287586 0.014101
35 3.286047 0.004884 0.010412 3.287411 0.015994 3.284611 0.014133
36 3.283828 0.003118 0.010211 3.283196 0.016941 3.284391 0.013615
37 3.284281 0.005403 0.010278 3.286056 0.015834 3.282439 0.013254
38 3.284459 0.003729 0.009994 3.285307 0.015198 3.283546 0.012726
39 3.286222 0.004077 0.010185 3.285086 0.015191 3.287292 0.012764
40 3.285955 0.007855 0.010191 3.281769 0.015407 3.290074 0.013526
41 3.285698 0.007292 0.009757 3.281995 0.014998 3.289340 0.012494
42 3.284539 0.007148 0.009500 3.280901 0.013678 3.288128 0.012733
43 3.284021 0.007669 0.009297 3.279747 0.014022 3.288251 0.012038
44 3.284777 0.005372 0.009226 3.282611 0.013864 3.286902 0.012036
45 3.286270 0.007201 0.009157 3.282320 0.014380 3.290180 0.012319
46 3.284193 0.008478 0.009299 3.278612 0.014138 3.289731 0.012289
47 3.285795 0.008354 0.009378 3.280250 0.014018 3.291284 0.011954
48 3.287801 0.007630 0.008868 3.283063 0.013634 3.292474 0.011420
49 3.285937 0.008322 0.009049 3.280202 0.013586 3.291615 0.011166
50 3.286543 0.007552 0.009002 3.281709 0.013746 3.291317 0.011136
