1 -31.96
2 -29.75
3 -22.89
4 -31.73
6 -30.73
7 -30.48
8 -32.62
9 -33.11
10 -28.80
11 -23.18
12 -35.50
13 -32.34
14 -36.60
15 -26.74
19 -30.19
20 -33.27
21 -21.97
22 -30.33
24 -32.29
25 -20.44
26 -27.35
27 -18.07
28 -21.87
29 -20.54
30 -18.19
31 -33.64
32 -34.22
33 -25.39
34 -27.66
35 -32.64
36 -18.85
37 -34.64
39 -28.64
40 -30.75
41 -30.58
42 -27.97
43 -31.81
44 -27.57
45 -32.52
47 -32.38
48 -35.14
49 -31.32
50 -36.37
51 -32.61
52 -32.19
54 -31.39
55 -26.49
56 -26.53
57 -31.61
58 -26.04
59 -31.41
60 -26.61
61 -25.40
62 -21.93
64 -30.78
65 -33.55
66 -28.76
67 -32.47
68 -26.85
69 -31.20
71 -31.35
73 -32.78
74 -29.71
75 -33.89
76 -33.40
77 -33.75
78 -33.17
79 -29.02
80 -32.28
81 -34.17
82 -24.09
83 -31.43
84 -34.39
85 -27.02
86 -24.36
87 -32.07
88 -31.32
89 -34.55
90 -22.42
91 -16.61
92 -19.20
93 -33.02
94 -34.73
95 -21.15
96 -28.16
97 -26.10
98 -32.51
101 -25.68
103 -22.80
104 -29.25
105 -31.37
106 -18.33
107 -30.05
108 -25.89
109 -26.49
110 -33.25
111 -31.50
112 -31.41
113 -29.65
114 -35.51
115 -26.41
116 -31.13
117 -26.85
118 -23.21
119 -30.73
120 -34.21
121 -29.29
122 -30.47
123 -27.67
124 -31.90
125 -33.34
126 -30.92
127 -31.98
128 -30.89
129 -31.86
130 -33.18
131 -31.21
132 -15.70
133 -28.35
134 -26.57
136 -33.46
137 -22.55
138 -26.54
139 -27.64
140 -20.53
141 -32.95
142 -32.19
143 -21.49
144 -32.13
145 -32.74
146 -21.12
147 -23.10
148 -27.06
149 -28.54
150 -28.72
# Avg DG: -28.9874
