# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 3.190650 0.242211 0.000000 3.298200 0.000000 3.083100 0.000000
2 3.119910 0.094644 0.052982 3.151215 0.103144 3.089075 0.004265
3 3.168790 0.052504 0.047511 3.182683 0.074425 3.154800 0.053162
4 3.132876 0.053248 0.041836 3.152410 0.061628 3.113573 0.054717
5 3.093006 0.018821 0.042561 3.096006 0.071590 3.090270 0.048835
6 3.068214 0.043431 0.040896 3.087880 0.058682 3.048843 0.054018
7 3.070014 0.047801 0.035365 3.097781 0.051542 3.042470 0.048213
8 3.068799 0.043016 0.031870 3.094453 0.045531 3.043366 0.042893
9 3.079752 0.033069 0.027924 3.096643 0.042283 3.062918 0.040240
10 3.091764 0.030351 0.027552 3.107478 0.038745 3.075930 0.038805
11 3.090878 0.011077 0.027287 3.088532 0.037815 3.093095 0.040804
12 3.103351 0.004368 0.027615 3.103614 0.037502 3.102818 0.037320
13 3.109936 0.013548 0.024742 3.113802 0.036979 3.105713 0.033341
14 3.109810 0.013005 0.023876 3.113658 0.035393 3.105634 0.031830
15 3.117048 0.019658 0.022983 3.126757 0.034775 3.107000 0.030076
16 3.111768 0.011939 0.021442 3.115514 0.033544 3.107747 0.028389
17 3.123041 0.007420 0.021973 3.124433 0.032602 3.121340 0.029441
18 3.124355 0.007466 0.021041 3.125854 0.030068 3.122535 0.027629
19 3.126226 0.010626 0.019917 3.129642 0.030047 3.122472 0.025733
20 3.127667 0.007477 0.019145 3.129347 0.028458 3.125642 0.024906
21 3.125355 0.002677 0.017989 3.125437 0.027242 3.124982 0.024295
22 3.126375 0.007822 0.017207 3.123947 0.026013 3.128510 0.023203
23 3.134484 0.007288 0.017365 3.132251 0.025975 3.136407 0.024298
24 3.136016 0.014572 0.018122 3.127315 0.025743 3.144443 0.023588
25 3.134706 0.010679 0.016804 3.129753 0.026333 3.139408 0.023036
26 3.135292 0.015327 0.016696 3.124925 0.023641 3.145424 0.022910
27 3.140429 0.017551 0.017195 3.126386 0.023812 3.154269 0.024347
28 3.140128 0.017647 0.016154 3.125437 0.022821 3.154629 0.022614
29 3.141762 0.017212 0.016112 3.127274 0.022654 3.156036 0.021972
30 3.139031 0.015714 0.015611 3.126518 0.020963 3.151374 0.022058
31 3.136089 0.014313 0.014986 3.125349 0.020211 3.146705 0.021887
32 3.135701 0.015503 0.014702 3.122759 0.020907 3.148526 0.022034
33 3.134642 0.015747 0.015035 3.120905 0.019122 3.148282 0.020553
34 3.134152 0.011863 0.014099 3.126050 0.019804 3.142147 0.020789
35 3.131309 0.010679 0.014277 3.124549 0.019598 3.138002 0.021366
36 3.132758 0.007406 0.013813 3.129373 0.019132 3.136078 0.020375
37 3.135207 0.008918 0.013982 3.130189 0.018634 3.140137 0.020301
38 3.134839 0.008272 0.013050 3.130397 0.018116 3.139202 0.018983
39 3.133595 0.009076 0.013001 3.128142 0.017255 3.138989 0.019574
40 3.132717 0.010410 0.012860 3.125403 0.017280 3.139982 0.018476
41 3.133727 0.008707 0.012896 3.128452 0.017204 3.138944 0.017960
42 3.135663 0.007594 0.012356 3.131526 0.017868 3.139720 0.017264
43 3.135495 0.007724 0.011709 3.131122 0.017529 3.139793 0.017713
44 3.133591 0.005969 0.012230 3.130900 0.016192 3.136223 0.017516
45 3.131988 0.002718 0.010990 3.131378 0.016864 3.132546 0.017240
46 3.134469 0.002501 0.011764 3.134901 0.016336 3.133965 0.016981
47 3.137654 0.004391 0.011531 3.139138 0.016600 3.136087 0.016705
48 3.133922 0.004767 0.011491 3.135730 0.016287 3.132045 0.016786
49 3.135604 0.004308 0.011920 3.137094 0.016554 3.134022 0.016591
