# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 3.536005 0.269874 0.000000 3.424870 0.000000 3.647140 0.000000
2 3.503004 0.143055 0.028888 3.438015 0.009178 3.568270 0.056351
3 3.545267 0.134980 0.033951 3.459923 0.018048 3.631207 0.060217
4 3.519239 0.086611 0.038826 3.470878 0.016630 3.568270 0.072656
5 3.531032 0.075404 0.031733 3.485098 0.018789 3.577352 0.059199
6 3.532868 0.065931 0.025893 3.490595 0.016478 3.575440 0.049046
7 3.538295 0.053292 0.023417 3.505789 0.020443 3.571001 0.040534
8 3.529985 0.031014 0.024956 3.517184 0.019981 3.542876 0.046145
9 3.527595 0.012431 0.023711 3.525250 0.019886 3.530030 0.042501
10 3.534396 0.027924 0.022260 3.521426 0.018107 3.547477 0.040970
11 3.529063 0.013005 0.023248 3.532203 0.018871 3.525902 0.044396
12 3.546576 0.015113 0.025798 3.541980 0.020118 3.551341 0.047039
13 3.546230 0.031271 0.025736 3.525066 0.025338 3.567535 0.045875
14 3.551061 0.022405 0.025096 3.539249 0.026732 3.562978 0.040679
15 3.555922 0.023667 0.023439 3.541821 0.024802 3.570023 0.040024
16 3.553378 0.024140 0.021765 3.537797 0.023669 3.569017 0.039089
17 3.554116 0.017614 0.021561 3.545214 0.023932 3.563068 0.035411
18 3.553100 0.014861 0.020976 3.546362 0.022287 3.559905 0.033023
19 3.559034 0.015507 0.019840 3.551288 0.021659 3.566761 0.033332
20 3.565690 0.015636 0.019155 3.557395 0.021324 3.573887 0.033175
21 3.559517 0.016122 0.018027 3.550288 0.021559 3.568725 0.030105
22 3.553129 0.020543 0.018618 3.537417 0.024208 3.568705 0.028815
23 3.548554 0.019984 0.018371 3.533043 0.022437 3.564010 0.028856
24 3.556658 0.020287 0.019351 3.539988 0.023292 3.573249 0.028874
25 3.554284 0.021054 0.017848 3.535670 0.023025 3.572859 0.028240
26 3.552321 0.019417 0.017085 3.535821 0.022809 3.568822 0.027594
27 3.551181 0.020704 0.016600 3.531800 0.021951 3.570571 0.025590
28 3.550635 0.021123 0.015997 3.529774 0.020365 3.571514 0.025148
29 3.548879 0.019623 0.016430 3.530195 0.020676 3.567611 0.024922
30 3.547843 0.018485 0.014689 3.530667 0.019351 3.565083 0.023985
31 3.551220 0.017022 0.015628 3.536121 0.019795 3.566343 0.022835
32 3.549180 0.018611 0.014916 3.530628 0.019537 3.567747 0.022056
33 3.548449 0.017358 0.014701 3.531768 0.019994 3.565156 0.022286
34 3.550099 0.015881 0.014690 3.535654 0.019476 3.564544 0.021670
35 3.543728 0.013312 0.014777 3.533239 0.018102 3.554067 0.023107
36 3.542944 0.014333 0.014452 3.530495 0.018791 3.555258 0.023292
37 3.545422 0.013149 0.014173 3.534616 0.017926 3.556062 0.022439
38 3.547010 0.011850 0.013724 3.537955 0.018023 3.555880 0.021029
39 3.547096 0.011442 0.013767 3.538426 0.018244 3.555585 0.021256
40 3.551069 0.012095 0.013791 3.541143 0.017597 3.560801 0.021181
41 3.553683 0.012958 0.013498 3.542038 0.016609 3.565122 0.021012
42 3.555267 0.012238 0.013095 3.544598 0.017234 3.565709 0.019570
43 3.554566 0.013018 0.012953 3.542258 0.016500 3.566658 0.019794
44 3.554060 0.013687 0.012835 3.540188 0.016129 3.567727 0.018953
45 3.554030 0.012565 0.012308 3.542033 0.016107 3.565827 0.019249
46 3.554185 0.012676 0.012573 3.541720 0.015961 3.566452 0.018694
47 3.553140 0.013746 0.011796 3.538217 0.015478 3.567863 0.018969
48 3.552905 0.013148 0.011683 3.538943 0.015116 3.566677 0.018064
49 3.547484 0.013371 0.012390 3.532664 0.015875 3.562027 0.018489
50 3.546176 0.012113 0.012274 3.533711 0.016222 3.558375 0.017654
