1 -40.48
2 -42.16
3 -40.92
4 -44.96
5 -39.10
6 -48.45
7 -40.31
8 -45.00
9 -44.83
10 -45.46
11 -43.28
12 -50.94
13 -39.18
14 -37.29
15 -41.96
16 -43.93
17 -39.56
18 -44.75
19 -39.66
20 -39.08
21 -40.36
22 -40.07
23 -43.06
24 -39.54
25 -40.76
26 -39.81
27 -38.88
28 -40.86
29 -45.18
30 -42.85
31 -41.60
32 -40.10
33 -31.81
34 -46.85
35 -43.56
36 -44.83
37 -41.21
38 -41.14
39 -40.09
40 -37.01
41 -43.84
42 -42.17
43 -39.47
44 -47.93
45 -43.08
46 -40.62
47 -39.33
48 -38.65
49 -40.47
50 -46.50
# Avg DG: -41.8586
