# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 4.458545 0.150827 0.000000 4.497980 0.000000 4.419110 0.000000
2 4.546378 0.099040 0.044612 4.580435 0.057527 4.512320 0.066271
3 4.491516 0.064729 0.054920 4.470097 0.095724 4.512320 0.044539
4 4.457350 0.056911 0.046516 4.435840 0.079804 4.478860 0.043108
5 4.428984 0.025392 0.042617 4.423890 0.063343 4.434406 0.054050
6 4.433156 0.024214 0.034949 4.427475 0.054876 4.439027 0.044330
7 4.418415 0.026924 0.031263 4.410233 0.049279 4.426963 0.041148
8 4.407260 0.035922 0.029301 4.390430 0.045055 4.424487 0.033995
9 4.406446 0.035657 0.025409 4.387774 0.041288 4.425483 0.032430
10 4.401462 0.032529 0.023550 4.384216 0.037455 4.419110 0.027905
11 4.413534 0.026096 0.023204 4.401294 0.038446 4.426063 0.025977
12 4.414985 0.006640 0.023368 4.416122 0.038073 4.414131 0.025449
13 4.412525 0.005488 0.021124 4.412124 0.035201 4.413227 0.025942
14 4.413343 0.007416 0.019700 4.412281 0.032467 4.414671 0.023098
15 4.414610 0.014924 0.018319 4.409231 0.028456 4.420225 0.022201
16 4.410772 0.019017 0.017865 4.401334 0.029529 4.420454 0.020545
17 4.412185 0.018374 0.017149 4.402802 0.027930 4.421781 0.019711
18 4.410769 0.017288 0.016116 4.401982 0.025744 4.419774 0.017945
19 4.417051 0.012146 0.018847 4.422506 0.032903 4.412317 0.020119
20 4.417034 0.012980 0.017577 4.423412 0.031060 4.411342 0.017321
21 4.415674 0.009672 0.018226 4.412964 0.031110 4.418996 0.018630
22 4.418339 0.003475 0.017471 4.419327 0.030413 4.417915 0.017458
23 4.417275 0.008602 0.016829 4.420669 0.028814 4.414434 0.018589
24 4.414363 0.013230 0.016606 4.421998 0.027860 4.407260 0.019132
25 4.416765 0.010259 0.016260 4.421691 0.026262 4.412322 0.018189
26 4.414607 0.018224 0.016286 4.429865 0.026080 4.399622 0.021903
27 4.411829 0.018291 0.016246 4.427785 0.025369 4.396184 0.021356
28 4.414239 0.016343 0.015506 4.427475 0.023527 4.401270 0.020379
29 4.408453 0.015251 0.015375 4.420429 0.024346 4.396776 0.021222
30 4.408209 0.013448 0.016273 4.417915 0.024180 4.398795 0.020179
31 4.402611 0.017044 0.016074 4.418493 0.023049 4.386729 0.022714
32 4.404637 0.017352 0.016007 4.421575 0.022921 4.387667 0.021922
33 4.400660 0.015051 0.016253 4.413823 0.023429 4.387461 0.021086
34 4.403124 0.014735 0.015685 4.416087 0.023574 4.390079 0.021098
35 4.404102 0.015146 0.014707 4.418154 0.022313 4.389952 0.020688
36 4.402388 0.013149 0.015173 4.413334 0.021670 4.391359 0.019268
37 4.408694 0.016128 0.015251 4.426022 0.025416 4.391786 0.019260
38 4.409192 0.014548 0.015488 4.423764 0.023456 4.395021 0.019628
39 4.406172 0.014489 0.015645 4.421010 0.024523 4.391778 0.018942
40 4.404549 0.012618 0.014338 4.416242 0.024539 4.393298 0.018741
41 4.408126 0.013216 0.014872 4.421150 0.023600 4.395501 0.018168
42 4.408103 0.013116 0.014810 4.421215 0.023503 4.395381 0.018136
43 4.409393 0.011562 0.014511 4.419944 0.023254 4.399212 0.017895
44 4.407041 0.010808 0.013663 4.416557 0.022585 4.397926 0.016898
45 4.406024 0.010029 0.013792 4.414489 0.021643 4.397972 0.016803
46 4.406915 0.010388 0.013813 4.416097 0.021945 4.398120 0.016793
47 4.405584 0.009880 0.013933 4.414127 0.021355 4.397447 0.015851
48 4.408918 0.006888 0.013460 4.413484 0.021546 4.404870 0.017633
49 4.409819 0.006964 0.013095 4.414525 0.021421 4.405599 0.017748
50 4.410370 0.006969 0.013307 4.415143 0.019820 4.406061 0.016228
