1740 1.618000 39.341896
5394 1.538000 40.108504
6226 1.577000 34.688624
13582 1.292000 39.397379
13748 1.268000 32.826290
20264 1.509000 39.288958
23602 1.419000 32.256536
28694 1.468000 33.193791
33830 1.382000 30.233216
36760 1.406000 40.524216
40488 1.591000 39.056588
48262 1.616000 30.187767
59896 1.339000 37.351438
69188 1.588000 30.166128
84260 1.517000 30.998606
89508 1.719000 35.367547
91774 1.569000 29.394061
93102 1.585000 39.250619
100266 1.514000 37.053738
126242 1.508000 35.995342
126862 1.453000 32.260525
131948 1.529000 33.830173
135766 1.549000 31.522709
142520 1.592000 35.928141
145426 1.641000 34.046359
146196 1.509000 35.317290
148944 1.371000 40.517126
162780 1.518000 33.949513
167430 1.264000 35.624249
172080 1.415000 29.697896
177084 1.588000 30.292977
183696 1.581000 33.504109
187694 1.307000 29.236212
200012 1.082000 32.825587
202894 1.303000 35.320678
203600 1.445000 35.402955
203688 1.690000 36.143954
205202 1.152000 36.450304
209796 1.632000 35.790680
211518 1.562000 34.764818
222608 1.532000 34.445937
246396 1.666000 26.836154
247650 1.360000 37.211508
249092 1.652000 39.004941
253634 1.566000 36.510142
256376 1.401000 40.551403
256836 1.585000 33.692425
260532 1.532000 35.530671
260876 1.472000 36.349513
262938 1.649000 29.107754
270244 1.367000 33.423973
273068 1.683000 32.123221
281434 1.691000 29.544541
283944 1.517000 28.865384
289924 1.427000 42.038549
300144 1.633000 38.896287
301446 1.621000 27.822766
305582 1.589000 33.022826
307128 1.572000 37.644535
315430 1.694000 26.759933
322514 1.410000 39.175074
324078 1.421000 35.130090
325288 1.367000 32.831954
326842 1.583000 39.086306
326984 1.389000 35.435659
331954 1.442000 30.577312
334824 1.606000 38.834189
337304 1.679000 30.651699
358492 1.591000 36.105936
361430 1.658000 29.272453
373664 1.622000 32.223229
373736 1.606000 31.342354
381572 1.650000 34.605684
381950 1.623000 34.615147
386876 1.621000 33.988749
393424 1.341000 35.550645
397288 1.564000 28.408776
401870 1.361000 34.954319
407088 1.295000 30.003440
413936 1.558000 28.772212
416362 1.333000 45.342785
418634 1.578000 31.429922
419092 1.586000 30.399301
443406 1.626000 32.676522
443410 1.652000 31.471898
447682 1.512000 34.288477
467936 1.582000 32.635006
474516 1.519000 26.847355
480582 1.644000 35.632950
495602 1.673000 30.822875
495988 1.480000 36.195149
497142 1.700000 37.535108
497410 1.552000 37.228276
511592 1.609000 38.793475
512418 1.506000 33.057191
519054 1.539000 30.558493
522248 1.667000 33.698865
524664 1.518000 43.094487
525562 1.617000 41.285014
532300 1.575000 40.818145
532458 1.697000 38.383154
537840 1.669000 36.307268
538030 1.615000 38.390221
542566 1.685000 33.851792
550202 1.668000 31.902058
555028 1.506000 28.226826
561660 1.361000 32.473859
561738 1.595000 33.860173
562512 1.630000 36.699596
562900 1.407000 36.538139
568402 1.201000 31.533121
571570 1.392000 42.258461
583492 1.480000 34.305934
587578 1.461000 37.719160
602032 1.714000 34.303666
604696 1.247000 34.507091
606304 1.629000 33.812825
613822 1.454000 26.443465
614802 1.446000 35.666779
619638 1.422000 37.901485
620976 1.400000 31.793389
637288 1.622000 38.195811
637778 1.549000 32.239078
643166 1.613000 31.655659
644558 1.544000 33.786047
644700 1.637000 38.378908
647484 1.550000 43.570299
650532 1.130000 31.592893
651112 1.611000 39.888628
651358 1.591000 32.252601
657888 1.529000 39.840552
663718 1.588000 29.912960
686460 1.569000 28.939455
691636 1.640000 26.596877
700236 1.566000 36.846469
705722 1.576000 29.760954
715936 1.597000 29.391803
717860 1.673000 36.420418
732050 1.527000 34.542031
744134 1.588000 31.939745
748538 1.372000 42.638791
752494 1.626000 29.852359
754688 1.709000 34.302561
765032 1.404000 29.996116
765162 1.679000 29.574089
774878 1.640000 27.551068
789448 1.642000 26.448620
793178 1.540000 30.731944
803372 1.206000 35.157697
804820 1.701000 28.092874
805348 1.313000 33.122510
810518 1.662000 35.830190
812404 1.386000 38.795197
812994 1.270000 42.402851
815094 1.695000 33.908508
815786 1.654000 37.005031
820162 1.469000 32.612304
820424 1.470000 39.197648
824478 1.378000 40.244699
833524 1.576000 31.166937
838358 1.513000 34.937595
838868 1.517000 26.356274
842696 1.445000 36.953592
842824 1.538000 28.882081
845052 1.682000 39.011695
845202 1.590000 36.460341
845340 1.499000 40.809523
850472 1.064000 32.213970
854234 1.448000 37.897951
860214 1.297000 36.236129
861484 1.608000 34.035404
861914 1.326000 39.253595
864758 1.643000 35.194234
865122 1.636000 28.265924
867284 1.561000 41.068895
869406 1.684000 26.584693
870644 1.368000 36.707641
881368 1.720000 28.753116
883596 1.710000 43.775620
885634 1.300000 32.671887
890788 1.256000 27.725080
893046 1.713000 31.540316
897628 1.458000 35.989000
899292 1.386000 31.978843
901408 1.656000 25.453978
902230 1.648000 29.110753
906608 1.625000 37.036142
907816 1.388000 37.105950
908346 1.312000 34.304968
933806 1.278000 44.328949
934928 1.560000 32.232364
952984 1.622000 28.584917
959372 1.446000 42.410870
971576 1.438000 30.696070
976792 1.219000 31.043513
978434 1.435000 35.167630
985442 1.603000 38.436102
989152 0.968000 34.814695
992932 1.508000 32.804227
998390 1.399000 39.178214
