674 138.932000 -8.968595
2087 138.600000 -8.761104
2995 133.631000 -6.941722
6711 137.978000 -9.678072
8093 130.863000 -9.144304
8264 135.324000 -4.450895
10367 136.984000 -6.341488
10426 138.641000 -9.634751
10447 135.708000 -12.142803
11161 137.296000 -8.434603
18856 138.869000 -11.881452
21441 139.946000 -4.295090
23656 139.000000 -11.654620
23824 139.442000 -7.833530
24192 136.978000 -9.825269
24266 130.547000 -5.611558
26029 125.310000 -9.560190
26702 136.812000 -10.292276
29951 134.992000 -8.482144
34218 134.508000 -9.161603
35271 137.745000 -6.444481
35892 137.037000 -9.727103
38941 135.526000 -4.795030
39105 137.089000 -9.324560
41801 124.617000 -9.564974
42573 136.657000 -11.506886
45109 131.973000 -9.918845
45955 138.775000 -7.711044
46905 135.835000 -10.655502
49171 138.516000 -5.659714
51044 137.864000 -5.409080
51524 134.317000 -8.933623
52616 138.668000 -9.010720
