# 1num 2Giso 3Esoln 4Gsoln(none) 5nu 6mu 7Gsoln(est) 8Sconf 9Sqha
04       7.01178126       7.14406572 None      -4.22788600      -3.95662500       3.05515626       0.13897654       0.29689532
06       7.06057069       7.14547557 None      -4.25369800      -4.01928900       3.04128169       0.14950412       0.02122371
B      10.85646943      11.37792864 None      -4.08606300      -3.93815300       6.91831643      -0.37354922       0.04074594
T      10.08506018      10.52807105 None      -4.16553100      -3.98639200       6.09866818      -0.26387187       0.14360636
S       6.15629574       4.13024834 None      -1.23601200      -2.43699100       3.71930474       0.82506840      -0.07514054
A       2.37739190       0.95171968 None       1.70772600       1.54360700       3.92099890       1.26155322      -0.67297084
