# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 4.943715 0.233395 0.000000 5.042900 0.000000 4.844530 0.000000
2 4.982460 0.066801 0.059650 4.967615 0.055079 4.997490 0.107940
3 4.976679 0.068225 0.041775 4.953673 0.038206 4.999880 0.072634
4 4.969897 0.058573 0.030922 4.947300 0.027202 4.992710 0.055773
5 4.966805 0.061553 0.025649 4.935828 0.023966 4.997968 0.043538
6 4.972115 0.064710 0.022042 4.931367 0.021204 5.013025 0.037371
7 4.954616 0.043690 0.024863 4.932619 0.019162 4.976663 0.048004
8 4.959399 0.033751 0.022942 4.944313 0.020093 4.974486 0.041081
9 4.954717 0.025255 0.020985 4.945176 0.017150 4.964296 0.037262
10 4.955292 0.029529 0.018926 4.940847 0.016020 4.969766 0.034536
11 4.958147 0.045137 0.022234 4.921445 0.023886 4.995100 0.039590
12 4.954025 0.042314 0.021928 4.918819 0.021657 4.989523 0.036557
13 4.936351 0.039138 0.023840 4.903545 0.025163 4.969362 0.038488
14 4.937657 0.036519 0.021318 4.906841 0.023728 4.968639 0.036237
15 4.931273 0.024160 0.023230 4.916549 0.023873 4.945866 0.040680
16 4.922578 0.022790 0.022887 4.908612 0.023674 4.936545 0.038292
17 4.931389 0.019159 0.021855 4.920869 0.025583 4.941817 0.037859
18 4.929537 0.021322 0.021174 4.915832 0.023427 4.943184 0.035114
19 4.932808 0.015309 0.021375 4.925287 0.024194 4.940256 0.034457
20 4.920062 0.015649 0.021471 4.911689 0.027936 4.928300 0.032742
21 4.915968 0.020549 0.021929 4.900980 0.027395 4.930798 0.033517
22 4.914330 0.019761 0.019617 4.899826 0.026707 4.928723 0.030978
23 4.919761 0.019118 0.020081 4.905527 0.026219 4.933791 0.030192
24 4.922120 0.020532 0.019070 4.905077 0.024954 4.938935 0.028876
25 4.918311 0.020341 0.018430 4.900934 0.024516 4.935541 0.028147
26 4.910942 0.020133 0.018441 4.893249 0.024873 4.928548 0.028251
27 4.911360 0.016639 0.018362 4.898703 0.025180 4.923931 0.027195
28 4.915318 0.019106 0.018712 4.898134 0.023628 4.932448 0.026644
29 4.916679 0.019897 0.017330 4.897440 0.022213 4.935844 0.026401
30 4.916864 0.021073 0.016675 4.894640 0.021497 4.939015 0.026602
31 4.921343 0.021159 0.017004 4.898189 0.021325 4.944370 0.025964
32 4.924555 0.021883 0.016913 4.899052 0.020122 4.949914 0.025531
33 4.929315 0.022875 0.015670 4.900659 0.020584 4.957874 0.026814
34 4.925245 0.021696 0.016402 4.898656 0.019389 4.951799 0.025301
35 4.925398 0.022220 0.015453 4.896769 0.019796 4.953992 0.025115
36 4.925341 0.021569 0.015540 4.897575 0.018996 4.953076 0.024600
37 4.929125 0.020518 0.014973 4.903246 0.018647 4.954922 0.023669
38 4.926401 0.019879 0.015641 4.901450 0.019018 4.951325 0.022799
39 4.927160 0.019553 0.014638 4.902380 0.018278 4.951896 0.023806
40 4.925950 0.018405 0.014526 4.903384 0.018383 4.948495 0.022321
41 4.925596 0.019181 0.014519 4.900549 0.017776 4.950623 0.022343
42 4.925372 0.019683 0.013810 4.898419 0.017355 4.952308 0.020866
43 4.927795 0.020304 0.013746 4.898500 0.016219 4.957082 0.021707
44 4.925389 0.020804 0.013852 4.893960 0.017616 4.956806 0.020074
45 4.925425 0.020599 0.013323 4.893923 0.017499 4.956913 0.021189
46 4.928357 0.019183 0.013621 4.900383 0.017792 4.956340 0.020710
47 4.929102 0.017158 0.013833 4.906161 0.017880 4.952080 0.021275
48 4.928909 0.015728 0.013324 4.909160 0.018632 4.948694 0.020457
49 4.928967 0.014392 0.013607 4.912035 0.017411 4.945934 0.020116
50 4.930156 0.014691 0.013030 4.912167 0.016922 4.948160 0.020010
