# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 4.831385 0.088038 0.000000 4.844530 0.000000 4.818240 0.000000
2 4.901393 0.173451 0.060515 5.014220 0.119441 4.790755 0.019464
3 4.915083 0.152899 0.044888 5.047680 0.085710 4.783983 0.013409
4 4.862227 0.100173 0.058851 4.935350 0.119506 4.790755 0.012198
5 4.847462 0.073318 0.049975 4.896154 0.099121 4.800554 0.013244
6 4.864945 0.062801 0.043499 4.907068 0.086082 4.823817 0.023897
7 4.883761 0.053347 0.039329 4.918620 0.074276 4.849310 0.031138
8 4.893617 0.049235 0.035154 4.927284 0.063592 4.860065 0.029843
9 4.904446 0.049382 0.032372 4.942520 0.057546 4.866306 0.026499
10 4.903379 0.025158 0.034105 4.913840 0.058998 4.892808 0.035302
11 4.920339 0.024682 0.033852 4.931222 0.056222 4.909060 0.035701
12 4.909611 0.019945 0.030885 4.917425 0.052070 4.901691 0.033155
13 4.906486 0.018500 0.028582 4.913840 0.049970 4.899132 0.030431
14 4.894771 0.028456 0.029071 4.914181 0.045904 4.875088 0.036407
15 4.894846 0.034687 0.027348 4.926109 0.041204 4.863331 0.036091
16 4.898120 0.026434 0.029051 4.917276 0.041557 4.878737 0.036271
17 4.895847 0.023245 0.025667 4.911591 0.040855 4.879958 0.035357
18 4.879803 0.020541 0.028603 4.892728 0.043340 4.866704 0.033933
19 4.879387 0.016265 0.026343 4.887927 0.040670 4.870694 0.033617
20 4.877039 0.021060 0.024431 4.892210 0.038753 4.861738 0.034864
21 4.873697 0.025493 0.025058 4.897224 0.037546 4.849993 0.033465
22 4.869357 0.019451 0.025007 4.883530 0.038869 4.854959 0.033498
23 4.866936 0.018428 0.023683 4.880276 0.037346 4.853467 0.030955
24 4.869692 0.021457 0.022631 4.888645 0.036245 4.850605 0.028856
25 4.865198 0.022377 0.022794 4.886785 0.033462 4.843574 0.029391
26 4.875216 0.020396 0.022806 4.893709 0.034138 4.856664 0.031627
27 4.875095 0.019525 0.023060 4.892684 0.032148 4.857454 0.030010
28 4.882548 0.019835 0.022620 4.901378 0.031044 4.863565 0.029259
29 4.879678 0.017570 0.021129 4.894967 0.031999 4.864309 0.028517
30 4.884724 0.015370 0.020978 4.896712 0.031504 4.872573 0.028992
31 4.884974 0.014124 0.020485 4.895414 0.029660 4.874366 0.028072
32 4.889438 0.016719 0.020864 4.904728 0.030815 4.874032 0.026460
33 4.892627 0.014332 0.020244 4.904135 0.029416 4.880959 0.027333
34 4.886265 0.012529 0.019830 4.895282 0.029911 4.877146 0.025895
35 4.884709 0.013461 0.019942 4.895471 0.028837 4.873893 0.025496
36 4.888859 0.013114 0.019384 4.899301 0.028070 4.878256 0.024403
37 4.886558 0.012658 0.019333 4.896593 0.027661 4.876440 0.025176
38 4.883602 0.014641 0.018622 4.897487 0.026361 4.869625 0.025192
39 4.885194 0.013169 0.018043 4.896681 0.026454 4.873578 0.025356
40 4.885797 0.011400 0.018028 4.894601 0.025949 4.876855 0.023997
41 4.886552 0.011124 0.017466 4.895128 0.025382 4.877815 0.022952
42 4.885924 0.007671 0.017509 4.890054 0.025733 4.881632 0.024084
43 4.887877 0.002531 0.017253 4.888273 0.023898 4.887328 0.024051
44 4.887732 0.005473 0.017573 4.889886 0.023664 4.885432 0.022992
45 4.892614 0.006314 0.016366 4.895570 0.023966 4.889462 0.023911
46 4.895240 0.001840 0.016862 4.895395 0.023304 4.894876 0.022629
47 4.894634 0.000993 0.016907 4.894618 0.023843 4.894466 0.022204
48 4.892894 0.003509 0.015834 4.893824 0.022083 4.891832 0.022334
49 4.891693 0.003074 0.015873 4.892428 0.023638 4.890867 0.022156
50 4.891416 0.005831 0.015353 4.894242 0.021240 4.888506 0.020901
