# 1num 2slvfe 3error 4boot 5lower 6boot 7upper 8boot
1 3.857460 0.161451 0.000000 3.902870 0.000000 3.812050 0.000000
2 3.744622 0.125218 0.056127 3.800100 0.073052 3.688965 0.087163
3 3.760136 0.137918 0.049407 3.865427 0.071292 3.655107 0.063262
4 3.788686 0.106872 0.043611 3.871202 0.053016 3.705695 0.065963
5 3.795828 0.089809 0.035090 3.867976 0.043803 3.723142 0.055877
6 3.772224 0.085022 0.033534 3.850290 0.040501 3.693745 0.052634
7 3.792192 0.078317 0.031513 3.869410 0.037409 3.714401 0.047472
8 3.803608 0.069134 0.028383 3.871800 0.033484 3.734674 0.047525
9 3.810700 0.057185 0.028070 3.862506 0.031696 3.758142 0.046498
10 3.814211 0.048660 0.026529 3.855548 0.027930 3.772137 0.043480
11 3.814232 0.040088 0.025730 3.844858 0.027959 3.782935 0.040510
12 3.819674 0.035996 0.024008 3.846506 0.025850 3.792133 0.037993
13 3.796994 0.043393 0.028160 3.839811 0.024659 3.751381 0.052130
14 3.793086 0.043575 0.027326 3.839706 0.022892 3.743935 0.050335
15 3.797198 0.035187 0.026009 3.829417 0.023164 3.762657 0.048372
16 3.796775 0.033808 0.025217 3.828481 0.023093 3.762906 0.049120
17 3.795477 0.031366 0.024530 3.824422 0.020254 3.764531 0.044866
18 3.789580 0.024877 0.024139 3.808598 0.026210 3.768632 0.041980
19 3.791798 0.024287 0.022633 3.810918 0.022941 3.770791 0.039967
20 3.792619 0.028742 0.022145 3.821132 0.025009 3.762338 0.038961
21 3.801287 0.027993 0.022830 3.829690 0.025295 3.771079 0.037121
22 3.807975 0.025845 0.022505 3.833234 0.025157 3.780871 0.038457
23 3.803893 0.025130 0.020907 3.828884 0.023342 3.777239 0.036332
24 3.802785 0.021404 0.021483 3.821610 0.023574 3.782374 0.032838
25 3.800265 0.022255 0.020159 3.821514 0.022601 3.777538 0.034173
26 3.796178 0.022652 0.019597 3.819128 0.021398 3.771880 0.033772
27 3.799677 0.020823 0.018875 3.819751 0.021044 3.778236 0.032111
28 3.796115 0.020882 0.018037 3.817086 0.020666 3.773895 0.031753
29 3.790965 0.021715 0.017990 3.814522 0.019963 3.766228 0.031298
30 3.789946 0.022246 0.017614 3.815555 0.019389 3.763214 0.030045
31 3.791794 0.020535 0.017973 3.814286 0.019032 3.768182 0.030528
32 3.793297 0.021116 0.016724 3.817876 0.018878 3.767611 0.027712
33 3.797122 0.018861 0.016935 3.817265 0.017757 3.775910 0.029483
34 3.794307 0.019323 0.017118 3.816127 0.017586 3.771490 0.028207
35 3.791197 0.018827 0.016048 3.812528 0.017216 3.768962 0.028182
36 3.791278 0.016686 0.016474 3.808465 0.017126 3.773212 0.027978
37 3.789715 0.014046 0.016112 3.802167 0.018013 3.776394 0.027756
38 3.788472 0.015053 0.015280 3.803182 0.017668 3.772929 0.026703
39 3.788895 0.015947 0.015950 3.805861 0.017307 3.771114 0.025182
40 3.787223 0.016586 0.015306 3.806075 0.017173 3.767596 0.024881
41 3.786774 0.016635 0.014473 3.806221 0.016799 3.766582 0.025219
42 3.788700 0.014534 0.015074 3.803856 0.016343 3.772843 0.024694
43 3.788182 0.014794 0.014153 3.804269 0.015357 3.771420 0.024585
44 3.788236 0.013618 0.014131 3.802164 0.015599 3.773647 0.022877
45 3.789294 0.011697 0.013719 3.799781 0.015675 3.778165 0.022941
46 3.790605 0.010555 0.014327 3.799321 0.015498 3.781240 0.023038
47 3.788630 0.011088 0.013321 3.798473 0.015058 3.778183 0.023941
48 3.789542 0.012278 0.013853 3.801892 0.015218 3.776598 0.022962
49 3.790819 0.012371 0.013379 3.803612 0.014514 3.777419 0.023748
